,c_1,c_2,c_3,c_4,c_5,c_6,c_7
Alabama-Autauga,-0.06027412414550781,0.16052711009979248,-0.0883558839559555,0.1204797774553299,-0.01082391943782568,0.04045158624649048,0.02589476853609085
Alabama-Baldwin,-0.1496843695640564,0.18596869707107544,-0.14574295282363892,-0.02309224009513855,-0.06867678463459015,0.05157250165939331,0.04813707619905472
Alabama-Barbour,0.5062021613121033,0.2966620922088623,0.14625781774520874,0.2978289723396301,0.09311103075742722,-0.06524446606636047,0.10772988945245743
Alabama-Bibb,0.06922417879104614,0.1908605694770813,0.22440198063850403,0.011756837368011475,0.283526211977005,0.017874479293823242,-0.09205303341150284
Alabama-Blount,-0.09103026986122131,0.254403293132782,0.02271369844675064,-0.19382432103157043,0.10073830932378769,0.2099452018737793,-0.005099058151245117
Alabama-Bullock,0.6548082232475281,0.3790081739425659,0.13794246315956116,0.42057815194129944,0.5600010752677917,-0.17600271105766296,-0.008187882602214813
Alabama-Butler,0.34872424602508545,0.35171210765838623,0.11834094673395157,0.23492848873138428,0.11917829513549805,-0.11702528595924377,0.07466737180948257
Alabama-Calhoun,0.12891268730163574,0.2234087586402893,0.07017990201711655,0.08109110593795776,-0.06908969581127167,0.00223463773727417,0.012866087257862091
Alabama-Chambers,0.24097609519958496,0.4523453712463379,0.051224470138549805,0.1372348517179489,0.16915792226791382,-0.16207697987556458,0.07092327624559402
Alabama-Cherokee,-0.0803113579750061,0.10444402694702148,0.21082812547683716,-0.061822593212127686,0.02713879570364952,0.10784715414047241,-0.00220644474029541
Alabama-Chilton,0.02263028919696808,0.24069148302078247,0.06842897087335587,-0.1038164496421814,0.13895918428897858,0.1410585641860962,-0.05222945660352707
Alabama-Choctaw,0.31295549869537354,0.3460744023323059,0.1401284635066986,0.2080392837524414,0.2810119092464447,0.028675556182861328,0.054686225950717926
Alabama-Clarke,0.3468841314315796,0.45991337299346924,0.10496730357408524,0.19698071479797363,0.16137823462486267,-0.17358770966529846,-0.006503939628601074
Alabama-Clay,-0.0182458758354187,0.2315298318862915,0.19215625524520874,-0.07434344291687012,0.23314131796360016,0.044239819049835205,0.016483880579471588
Alabama-Cleburne,-0.12613379955291748,0.1393679976463318,0.1673307716846466,-0.12733346223831177,0.19852890074253082,0.22181659936904907,-0.05508711189031601
Alabama-Coffee,0.0488303005695343,0.029759705066680908,-0.004307471215724945,0.1265467256307602,-0.049527913331985474,-0.042103350162506104,0.010616369545459747
Alabama-Colbert,-0.018626391887664795,0.24728381633758545,0.03740444779396057,-0.0002460181713104248,-0.05405035987496376,-0.06971395015716553,0.11515682190656662
Alabama-Conecuh,0.5290189981460571,0.47011780738830566,0.25994032621383667,0.1857963353395462,0.07596686482429504,0.02075982093811035,0.1862240433692932
Alabama-Coosa,0.2458387315273285,0.34626710414886475,0.1991434097290039,0.09016045928001404,0.12885808944702148,0.012828528881072998,-0.045408181846141815
Alabama-Covington,0.01900544762611389,0.20157331228256226,0.16064351797103882,-0.03225460648536682,0.020952021703124046,0.03667616844177246,0.014372922480106354
Alabama-Crenshaw,0.027969151735305786,0.18755316734313965,0.06875573098659515,0.09027323126792908,0.17938676476478577,0.01575934886932373,0.062295712530612946
Alabama-Cullman,-0.13615089654922485,0.1956825852394104,0.08764030784368515,-0.16940513253211975,-0.027856528759002686,0.04683893918991089,0.026331014931201935
Alabama-Dale,0.09697361290454865,0.10637462139129639,0.03322604298591614,0.0862109363079071,-0.02940528467297554,-0.07188647985458374,0.07011609524488449
Alabama-Dallas,0.7233377695083618,0.44184935092926025,0.16658860445022583,0.47537726163864136,0.16670474410057068,-0.180149644613266,0.12584680318832397
Alabama-DeKalb,-0.011847376823425293,0.1426801085472107,0.12586569786071777,-0.2150155007839203,0.018602920696139336,-0.08745008707046509,0.014816917479038239
Alabama-Elmore,-0.012875884771347046,0.1497337818145752,-0.09351607412099838,0.1599145531654358,0.005184145178645849,0.11108452081680298,0.03545064479112625
Alabama-Escambia,0.307089626789093,0.27734607458114624,0.1357017159461975,0.1930651068687439,-0.0688885748386383,-0.05197152495384216,0.08134063333272934
Alabama-Etowah,0.03253166377544403,0.2323818802833557,0.0922066941857338,-0.004090070724487305,-0.05145670101046562,-0.057758867740631104,0.04643312841653824
Alabama-Fayette,-0.045222342014312744,0.30701518058776855,0.13756224513053894,-0.0802527666091919,0.07132932543754578,0.03602069616317749,-0.005883611738681793
Alabama-Franklin,0.12298256158828735,0.21658998727798462,0.22013208270072937,-0.22800341248512268,0.13733066618442535,0.025774776935577393,-0.0470043420791626
Alabama-Geneva,0.07798591256141663,0.11408764123916626,0.2495204508304596,-0.07939654588699341,0.05059001222252846,0.08836901187896729,0.012353979051113129
Alabama-Greene,0.9862942099571228,0.582953691482544,0.19996649026870728,0.5390334129333496,0.143575981259346,-0.03214085102081299,0.20875653624534607
Alabama-Hale,0.49774858355522156,0.4367316961288452,0.050639085471630096,0.35705509781837463,0.2036750763654709,-0.03126537799835205,0.1599007546901703
Alabama-Henry,0.027945339679718018,0.21818941831588745,-0.014060892164707184,0.15233105421066284,0.13135448098182678,-0.03912758827209473,0.050025202333927155
Alabama-Houston,0.08420893549919128,0.2734244465827942,-0.06668788939714432,0.10310825705528259,-0.08216454833745956,-0.12154373526573181,0.12409669905900955
Alabama-Jackson,-0.08589154481887817,0.17259007692337036,0.1863059103488922,-0.12196019291877747,-0.014198713935911655,0.026177287101745605,0.05788203328847885
Alabama-Jefferson,0.1981639862060547,0.3037225604057312,-0.25441721081733704,0.30509403347969055,-0.0029268385842442513,-0.10833632946014404,0.12363719195127487
Alabama-Lamar,0.03612211346626282,0.24388915300369263,0.2505679130554199,-0.08273279666900635,0.10262264311313629,0.019855380058288574,-0.05918809771537781
Alabama-Lauderdale,-0.06964632868766785,0.17181503772735596,0.027541249990463257,-0.012259155511856079,-0.09277252852916718,0.021502912044525146,0.021439604461193085
Alabama-Lawrence,-0.009484976530075073,0.2368922233581543,0.13655486702919006,-0.0714835524559021,0.15115571022033691,0.008911490440368652,0.00016423314809799194
Alabama-Lee,0.0648961216211319,0.12828707695007324,-0.1060759425163269,0.1889302283525467,-0.09787484258413315,-0.05536079406738281,0.1037827655673027
Alabama-Limestone,-0.08933436870574951,0.15118026733398438,-0.08996745944023132,0.014972776174545288,0.03374588117003441,0.026876628398895264,0.04091770201921463
Alabama-Lowndes,0.6520233154296875,0.4590737819671631,0.12964731454849243,0.5138012170791626,0.3739481270313263,-0.13290277123451233,0.07448527961969376
Alabama-Macon,0.7487813234329224,0.4152102470397949,-0.003942418843507767,0.632053017616272,0.18195189535617828,-0.2551925480365753,-0.006048150360584259
Alabama-Madison,-0.040161311626434326,0.09838825464248657,-0.3035145401954651,0.24778151512145996,-0.1015944629907608,-0.06766447424888611,0.10877770930528641
